location_id,location,parameter,value,date_utc,unit,lat,long,country
10771,Traralgon,pm10,4.86,2022-04-02T03:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,3.62,2022-04-02T03:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.19,2022-04-02T04:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.003,2022-04-02T04:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.016,2022-04-02T04:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,5.61,2022-04-02T04:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2.72,2022-04-02T04:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.19,2022-04-02T05:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.003,2022-04-02T05:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.017,2022-04-02T05:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,9.12,2022-04-02T05:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2.08,2022-04-02T05:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-02T06:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.005,2022-04-02T06:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.014,2022-04-02T06:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,11.83,2022-04-02T06:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2.23,2022-04-02T06:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.21,2022-04-02T07:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.004,2022-04-02T07:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.014,2022-04-02T07:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,11.75,2022-04-02T07:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2.08,2022-04-02T07:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.25,2022-04-02T08:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.007,2022-04-02T08:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.01,2022-04-02T08:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,13.59,2022-04-02T08:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,1.91,2022-04-02T08:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.22,2022-04-02T09:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.007,2022-04-02T09:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.01,2022-04-02T09:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,8.02,2022-04-02T09:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2.95,2022-04-02T09:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-02T10:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.006,2022-04-02T10:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.011,2022-04-02T10:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,10.43,2022-04-02T10:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,2.08,2022-04-02T10:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.2,2022-04-02T11:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.005,2022-04-02T11:00:00Z,ppm,-38.1942825,146.531464,AU
