longitude,latitude,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source,location
146.5,-38.19,2022,5,17,2022-05-17,15.4,25,7.5,25,60.8 m,0.4,26,1.6,26,1,26,1.5,26,2.3,26,1.5,25,1,26,1.5,25,1.7,26,2024-10-27,1017.6,25,7.8,42,3.5,25,51.5,26,86.9,26,9,6.4,26,25,Traralgon
146.5,-38.19,2022,5,18,2022-05-18,14.5,25,8.4,25,60.8 m,0.5,26,1.4,26,0.9,26,1.3,26,1.9,26,1.6,25,0.9,26,1.6,25,1.5,26,2024-10-27,1017.4,25,7.6,42,2.6,25,60,26,89.9,26,9.9,5,26,25,Traralgon
146.5,-38.19,2022,5,19,2022-05-19,15.7,25,8.1,25,60.8 m,0.7,26,1.4,26,1.1,26,1.1,26,1.6,26,1.5,25,1.1,26,1.5,25,1.5,26,2024-10-27,1027.2,25,8.5,42,0.7,25,63.4,26,100,26,11.3,4.5,26,25,Traralgon
146.5,-38.19,2022,5,20,2022-05-20,15.6,25,9.3,25,60.8 m,0.6,26,1.1,26,0.9,26,1.2,26,1.7,26,1.2,25,0.9,26,1.2,25,1.5,26,2024-10-27,1034.5,25,6.7,42,0,25,63.2,26,95.7,26,11.2,4.8,26,25,Traralgon
146.5,-38.19,2022,5,21,2022-05-21,16.5,25,0,25,60.8 m,0.6,26,1.8,26,1.2,26,1.4,26,2.1,26,1,25,1.2,26,1,25,1.8,26,2024-10-27,1035.3,25,10.2,42,0,25,43.2,26,100,26,8.1,6.3,26,25,Traralgon
146.5,-38.19,2022,5,22,2022-05-22,15.8,25,1.7,25,60.8 m,0.6,26,1.7,26,1.1,26,1.3,26,2,26,0.9,25,1.1,26,0.9,25,1.7,26,2024-10-27,1032.3,25,9.8,42,0.1,25,46.3,26,100,26,8.3,6,26,25,Traralgon
146.5,-38.19,2022,5,23,2022-05-23,16.7,25,2.7,25,60.8 m,0.7,26,1.7,26,1.2,26,1.3,26,1.9,26,1.2,25,1.2,26,1.2,25,1.7,26,2024-10-27,1030.9,25,10,42,0.1,25,49.5,26,100,26,9.4,5.8,26,25,Traralgon
146.5,-38.19,2022,5,24,2022-05-24,16.6,25,1.9,25,60.8 m,0.5,26,1.8,26,1.2,26,1.5,26,2.3,26,1.1,25,1.2,26,1.1,25,1.8,26,2024-10-27,1030.1,25,9.9,42,0.3,25,42.4,26,100,26,8,6.9,26,25,Traralgon
146.5,-38.19,2022,5,25,2022-05-25,17.2,25,3.9,25,60.8 m,0.6,26,1.8,26,1.2,26,1.4,26,2.1,26,1.3,25,1.2,26,1.3,25,1.8,26,2024-10-27,1024.9,25,9.7,42,0.2,25,47.4,26,100,26,9.3,6.5,26,25,Traralgon
146.5,-38.19,2022,5,26,2022-05-26,14.5,25,2.8,25,60.8 m,0.8,26,0.9,26,0.8,26,0.9,26,1.2,26,1.3,25,0.8,26,1.3,25,1.4,26,2024-10-27,1017.8,25,5.8,42,0,25,59.4,26,100,26,9.8,3.8,26,25,Traralgon
